row	column	cell_passage	conc_first_treatment_nm	coumpound_ID	compound_first_treatment	conc_second_treatment	cell_type	compound_second_treatment	well_removal	batch_reagent_first_treatment	batch_reagent_second_treatment	compound_pre_treatment	conc_pre_treatment	cell_number	comments_assay	well	batch_reagent_first_treatment_in_aggregate	batch_reagent_second_treatment_in_aggregate	treatment_annotation
J	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J14	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	15	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J16	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	17	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J18	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	19	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	20	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J20	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	21	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J21	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	22	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J22	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	23	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J23	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
J	24	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		J24	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	1	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K1	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	2	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-01_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K2	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-01_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	3	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K3	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	4	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-02_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K4	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-02_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	5	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K5	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	6	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-03_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K6	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-03_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	7	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K7	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	8	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-04_Multiplex2023Mar	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K8	Multiplex2023Mar	Pur-2021May	XXXX-Nle-L5-04_Multiplex2023Mar + XXXX-WT-fixed_Pur-2021May
K	9	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-05_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K10	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-05_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	11	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-06_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K12	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-06_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	13	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-07_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K14	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-07_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	15	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-08_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K16	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-08_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	17	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-09_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K18	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-09_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	19	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	20	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-10_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K20	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-10_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	21	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K21	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	22	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-11_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K22	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-11_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	23	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K23	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
K	24	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-Nle-L5-12_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		K24	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L5-12_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	1	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-13_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L1	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-13_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	2	Mixt20230321f20220519NCWBt20230322f20211219FC	8	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L2	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	3	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-14_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L3	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-14_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	4	Mixt20230321f20220519NCWBt20230322f20211219FC	4	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L4	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	5	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-15_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L5	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-15_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	6	Mixt20230321f20220519NCWBt20230322f20211219FC	2	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L6	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	7	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-16_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L7	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-16_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	8	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L8	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	9	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-17_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-17_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L10	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	11	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-18_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-18_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.25	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L12	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	13	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-19_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-19_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.125	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L14	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	15	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-20_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-20_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.0625	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L16	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	17	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-21_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-21_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L18	Multiplex-2022May	Pur-2021May	XXXX-YYYYY-NGS-MALO-3_Multiplex-2022May + XXXX-WT-fixed_Pur-2021May
L	19	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-22_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-22_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	20	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	NA	40000		L20	Buffer	Pur-2021May	Buffer + XXXX-WT-fixed_Pur-2021May
L	21	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-23_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L21	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-23_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	22	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	NA	40000		L22	Buffer	Pur-2021May	Buffer + XXXX-WT-fixed_Pur-2021May
L	23	Mixt20230321f20220519NCWBt20230322f20211219FC	0.5	NA	XXXX-Nle-L4-24_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		L23	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-24_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
L	24	Mixt20230321f20220519NCWBt20230322f20211219FC	NA	NA	Buffer	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	NA	40000		L24	Buffer	Pur-2021May	Buffer + XXXX-WT-fixed_Pur-2021May
M	1	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-13_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M1	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-13_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	2	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-13_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M2	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-13_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	3	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-14_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M3	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-14_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	4	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-14_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M4	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-14_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	5	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-15_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M5	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-15_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	6	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-15_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M6	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-15_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	7	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-16_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M7	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-16_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	8	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-16_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M8	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-16_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	9	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-17_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M9	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-17_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	10	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-17_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M10	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-17_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	11	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-18_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M11	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-18_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	12	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-18_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M12	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-18_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	13	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-19_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M13	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-19_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	14	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-19_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M14	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-19_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	15	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-20_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M15	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-20_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	16	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-20_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M16	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-20_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	17	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-21_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M17	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-21_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	18	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-21_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M18	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-21_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	19	Mixt20230321f20220519NCWBt20230322f20211219FC	1	NA	XXXX-Nle-L4-22_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M19	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-22_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
M	20	Mixt20230321f20220519NCWBt20230322f20211219FC	0.03125	NA	XXXX-Nle-L4-22_Multiplex2023Apr	100	CellsX	XXXX-WT-fixed_Pur-2021May	NA	all banks	all banks	NA	NA	40000		M20	Multiplex2023Apr	Pur-2021May	XXXX-Nle-L4-22_Multiplex2023Apr + XXXX-WT-fixed_Pur-2021May
