time_point	conc_first_treatment_nm	experiment_phase	cell_type	cell_passage	treatment_annotation	compound_first_treatment	compound_second_treatment	compound_pre_treatment	conc_pre_treatment	batch_reagent_first_treatment	batch_reagent_second_treatment	Date	adjusted_Time	baseline_norm_method	peak_height_normalization_method	peak_height_normalizator_annotation	blank_annotation	time_measure_s_offset	delta	sd	mean	cv	n	average_value	max_value	min_value	delta_max_min	delta_max_min_cv
time_at_absolute_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	440.909	0.23382593	0.074807627	1	0.074807627	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	537.385	0.14857932	0.044099619	0.99263587	0.044426784	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	348.501	0.19394783	0.055166901	1.0345047	0.053326873	12	NA	NA	NA	NA	NA
time_at_absolute_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	351.931	0.24131202	0.070312445	1.0254324	0.068568581	12	NA	NA	NA	NA	NA
delta_max_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	4.282	NA	NA	NA	NA	NA	1.0014496	1.0069727	0.99942758	0.00754512	0.0075341987
delta_max_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	4.282	NA	NA	NA	NA	NA	0.99847697	1.0025805	0.98145932	0.02112118	0.021153397
delta_max_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	7.278	NA	NA	NA	NA	NA	1.0012448	1.0035205	0.99794328	0.00557722	0.0055702863
delta_max_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	48.796	NA	NA	NA	NA	NA	0.99726536	1.0042451	0.99313122	0.01111388	0.011144356
delta_max_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	50.512	NA	NA	NA	NA	NA	1.0014683	1.0091933	0.99758329	0.01161001	0.011592988
delta_max_min	NA	baseline	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	50.937	NA	NA	NA	NA	NA	1.0031865	1.0216063	0.99884218	0.02276412	0.022691813
delta_max_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	83.038	NA	NA	NA	NA	NA	0.9901799	1.2337784	0.91766152	0.31611688	0.31925197
delta_max_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	102.89	NA	NA	NA	NA	NA	1.0180015	1.1507978	0.87224869	0.27854911	0.27362349
delta_max_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	118.888	NA	NA	NA	NA	NA	1.0166148	1.1464021	0.88946145	0.25694065	0.25274141
delta_max_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	131.894	NA	NA	NA	NA	NA	1.0116999	1.1492601	0.86797365	0.28128645	0.27803349
delta_max_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	138.391	NA	NA	NA	NA	NA	0.98173265	1.092385	0.87224196	0.22014304	0.2242393
delta_max_min	NA	first_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	154.888	NA	NA	NA	NA	NA	0.98887702	1.2200217	0.91336881	0.30665289	0.31010215
delta_max_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	350.642	NA	NA	NA	NA	NA	1	1.0945062	0.90704787	0.18745833	0.18745833
delta_max_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	16:03:39	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	355.783	NA	NA	NA	NA	NA	1	1.1783071	0.90683612	0.27147098	0.27147098
delta_max_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + Buffer	Buffer	Buffer	NA	NA	NA	NA	2023-04-21	15:40:38	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	357.353	NA	NA	NA	NA	NA	1	1.2270391	0.92975844	0.29728066	0.29728066
delta_max_min	NA	second_treatment	CellsX	Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer + XXXX-WT-fixed_Pur-2021May	Buffer	XXXX-WT-fixed_Pur-2021May	NA	NA	NA	NA	2023-04-21	15:51:46	ratio_to_baseline	ratio_to_ph	second_treatment from Buffer + XXXX-WT-fixed_Pur-2021May on CellsX - Mixt20230321f20220519NCWBt20230322f20211219FC	Buffer	363.054	NA	NA	NA	NA	NA	1.9741526	2.2413588	1.5962985	0.6450603	0.32675302
